"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"RGCC",2.01760631549947,5.23669753513268,7.23197612113836,5.23527210827864e-05,0.720792263867803,-4.04253348726833,"Upregulated"
"SLC8A1",1.07433695775727,4.0478432543301,5.3643247465738,0.000473070901805676,0.999950192382521,-4.11307830312178,"Upregulated"
"CCDC124",-1.02534514934907,5.55528220386034,-5.21887467892328,0.000572435847658816,0.999950192382521,-4.12083518819455,"Downregulated"
"SFN",1.90087124401416,6.45938084886689,4.95248647727166,0.000818030033444132,0.999950192382521,-4.13618900220894,"Upregulated"
"BCAN-AS1",1.76045414721969,4.6627574276763,4.72192168307796,0.00112345324207258,0.999950192382521,-4.1507867390759,"Upregulated"
"ZNF45",1.09553331945273,4.38849404861833,4.39688161111494,0.00178036214403505,0.999950192382521,-4.17366748881211,"Upregulated"
"PWP1",0.782091194558538,5.22826653192216,4.38381067749432,0.00181421478602346,0.999950192382521,-4.17464816231378,"No"
"HLTF",1.3613559616124,5.37340662888688,4.37706266834859,0.00183196048800906,0.999950192382521,-4.17515635794625,"Upregulated"
"MAP3K8",0.795298194883936,5.47075571278709,4.27392336689429,0.00212757566487239,0.999950192382521,-4.18308833481717,"No"
"FCN3",-1.52258136140492,5.94290627660081,-4.16343116177005,0.00250162430987445,0.999950192382521,-4.19193753195415,"Downregulated"
"VCPIP1",0.708341174440573,5.51273937024072,4.14803707207039,0.00255906714025044,0.999950192382521,-4.19320008320444,"No"
"TMEM161B",-0.786817275522266,4.50446558247983,-4.11547855808852,0.00268523807504726,0.999950192382521,-4.19589470521244,"No"
"MUC6",-1.0436949889057,7.15792965765414,-4.09993788090929,0.00274778135035984,0.999950192382521,-4.19719261847007,"Downregulated"
"RNF157",0.994647486048285,4.72258508174479,3.97031866469537,0.00333392723695696,0.999950192382521,-4.20831907429263,"No"
"EDEM1",-0.953020175842857,5.92340656823431,-3.77567218306128,0.00447651097974471,0.999950192382521,-4.22607364289134,"No"
"CCL19",-1.35548739562917,6.02178696469278,-3.76111970854332,0.00457716571697833,0.999950192382521,-4.22745320190589,"Downregulated"
"CD1D",-0.90852974273094,3.88024308885325,-3.74409749945302,0.0046979439329624,0.999950192382521,-4.22907629123533,"No"
"LYVE1",-1.05161089838721,4.00642819919072,-3.73860069759225,0.00473766058793889,0.999950192382521,-4.22960259070127,"Downregulated"
"VENTX",0.703146702811857,3.80466800174584,3.71554563673224,0.00490814348395303,0.999950192382521,-4.23182163001134,"No"
"MRPS9",-0.661342358366278,5.12772017289871,-3.71506956816648,0.00491173128524795,0.999950192382521,-4.23186764926832,"No"
"FIRRM",0.950372649974189,4.85388895849482,3.69482941398331,0.0050668551450513,0.999950192382521,-4.23383160111528,"No"
"DPH5",-0.656381180896685,5.42342230771526,-3.69279419972462,0.00508273673394531,0.999950192382521,-4.23402988820239,"No"
"COL15A1",0.867721094345124,4.3288409209249,3.65036608043344,0.00542604813282853,0.999950192382521,-4.23819726645526,"No"
"COQ7",-0.691622321076903,3.66843472103811,-3.59732760484713,0.00588988893548229,0.999950192382521,-4.24349793444093,"No"
"STARD5",-1.15024206060055,3.87795677134619,-3.59729888080048,0.00589015114631505,0.999950192382521,-4.24350083275666,"Downregulated"
"WDCP",1.02354216608219,3.84363742262303,3.54986719477892,0.00634033574011954,0.999950192382521,-4.248327899944,"Upregulated"
"MEST",1.26447727445906,5.23218492254287,3.52189917445087,0.00662259640246765,0.999950192382521,-4.25121288984536,"Upregulated"
"PDCL3",1.06927570445983,3.62346508094813,3.50472676450694,0.00680241193861955,0.999950192382521,-4.25299860009999,"Upregulated"
"CLUAP1",0.652905372691122,5.27856272799462,3.43402865696205,0.00759837571404201,0.999950192382521,-4.26046591773068,"No"
"HSPB1",0.730223035954063,7.50070261052954,3.40023621527555,0.008012715035875,0.999950192382521,-4.26410135452589,"No"
"BTN2A2",0.871632558195714,4.85817152144817,3.39377883533098,0.0080945436268302,0.999950192382521,-4.26480095025967,"No"
"IGFBP3",-1.23307318778334,7.52385547933613,-3.36459331764955,0.00847542410302727,0.999950192382521,-4.26798261253318,"Downregulated"
"MUC5B",-1.10217765773541,6.91707769813446,-3.35578048108987,0.0085940776807529,0.999950192382521,-4.2689496964927,"Downregulated"
"ACOT2",-0.864113228038443,4.77642259849497,-3.35392052581535,0.00861934042791816,0.999950192382521,-4.26915417744958,"No"
"INMT",-1.03041618266583,4.13563098747955,-3.28556154768893,0.00960365987796798,0.999950192382521,-4.27676099178566,"Downregulated"
"CLEC4M",-1.48335252435987,6.0005778461949,-3.28301073954803,0.00964258128620029,0.999950192382521,-4.27704829792315,"Downregulated"
"DLGAP4-AS1",0.655883599407412,3.86205261646501,3.26218397702279,0.00996657395899067,0.999950192382521,-4.27940342728265,"No"
