"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CCDC124",-1.02534514934907,5.55528220386034,-5.21887467892328,0.000572435847658816,0.999950192382521,-4.12083518819455,"Downregulated"
"FCN3",-1.52258136140492,5.94290627660081,-4.16343116177005,0.00250162430987445,0.999950192382521,-4.19193753195415,"Downregulated"
"MUC6",-1.0436949889057,7.15792965765414,-4.09993788090929,0.00274778135035984,0.999950192382521,-4.19719261847007,"Downregulated"
"CCL19",-1.35548739562917,6.02178696469278,-3.76111970854332,0.00457716571697833,0.999950192382521,-4.22745320190589,"Downregulated"
"LYVE1",-1.05161089838721,4.00642819919072,-3.73860069759225,0.00473766058793889,0.999950192382521,-4.22960259070127,"Downregulated"
"STARD5",-1.15024206060055,3.87795677134619,-3.59729888080048,0.00589015114631505,0.999950192382521,-4.24350083275666,"Downregulated"
"IGFBP3",-1.23307318778334,7.52385547933613,-3.36459331764955,0.00847542410302727,0.999950192382521,-4.26798261253318,"Downregulated"
"MUC5B",-1.10217765773541,6.91707769813446,-3.35578048108987,0.0085940776807529,0.999950192382521,-4.2689496964927,"Downregulated"
"INMT",-1.03041618266583,4.13563098747955,-3.28556154768893,0.00960365987796798,0.999950192382521,-4.27676099178566,"Downregulated"
"CLEC4M",-1.48335252435987,6.0005778461949,-3.28301073954803,0.00964258128620029,0.999950192382521,-4.27704829792315,"Downregulated"
"LOC730101",-1.203130946093,3.67320406225374,-3.15523095845668,0.0118180423110833,0.999950192382521,-4.2917610297859,"Downregulated"
"ECM1",-1.09754166672699,4.94064211773423,-3.03433745349586,0.0143462232836733,0.999950192382521,-4.30626200882749,"Downregulated"
"NADK2-AS1",-1.04497344008942,5.92538577713179,-2.99407822609536,0.0153070339074964,0.999950192382521,-4.3112166056953,"Downregulated"
"LINC00472",-1.05973428983706,3.41500561722917,-2.89838959541385,0.0178654104922309,0.999950192382521,-4.32324345079292,"Downregulated"
"ACO2",-1.43961339548825,4.81533873370918,-2.88704465376241,0.01819653819302,0.999950192382521,-4.32469265282731,"Downregulated"
"DNASE1L3",-1.71944853722766,5.08077944776914,-2.85426095041386,0.0191891530921517,0.999950192382521,-4.32890800844844,"Downregulated"
"PMM2",-1.0072474083393,5.77833106401281,-2.77707821799449,0.0217503263093419,0.999950192382521,-4.3389927534576,"Downregulated"
"NNMT",-1.28307100806522,8.927963120293,-2.7702098415685,0.0219944945993398,0.999950192382521,-4.3399010063784,"Downregulated"
"STEAP4",-1.44109458256796,5.88519605207564,-2.75947906043482,0.0223815655587147,0.999950192382521,-4.34132352557551,"Downregulated"
"MT1F",-1.70864786723178,7.72860670673311,-2.72597833218856,0.0236351146352098,0.999950192382521,-4.34579196476336,"Downregulated"
"STAB2",-1.22114794371995,5.02565899518067,-2.7227970501112,0.0237578009201018,0.999950192382521,-4.34621844524807,"Downregulated"
"MAN1C1",-1.10222963808064,5.69941394750901,-2.71805579034633,0.0239418482812678,0.999950192382521,-4.34685474444095,"Downregulated"
"CLEC1B",-1.06530484021443,4.25749497787359,-2.67895691632102,0.0255157907739122,0.999950192382521,-4.35213327695485,"Downregulated"
"SNTB1-AS2",-1.15197275099229,3.89365144974452,-2.62574246365886,0.0278276762845438,0.999950192382521,-4.35940604884449,"Downregulated"
"AQP3",-1.0197199503062,6.06389186940584,-2.62280951226937,0.0279610827242207,0.999950192382521,-4.35980982346451,"Downregulated"
"MT1X",-1.72282792505088,9.36694862453514,-2.61491542529548,0.028323362005599,0.999950192382521,-4.36089809616545,"Downregulated"
"LOC105369199",-1.09152772925724,5.37864372984221,-2.5807660965918,0.0299458545446955,0.999950192382521,-4.36563102297978,"Downregulated"
"SLCO1A2",-1.37308657824443,3.79495623946394,-2.55476006016528,0.0312439114884351,0.999950192382521,-4.36926239218442,"Downregulated"
