"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"RGCC",2.01760631549947,5.23669753513268,7.23197612113836,5.23527210827864e-05,0.720792263867803,-4.04253348726833,"Upregulated"
"SLC8A1",1.07433695775727,4.0478432543301,5.3643247465738,0.000473070901805676,0.999950192382521,-4.11307830312178,"Upregulated"
"SFN",1.90087124401416,6.45938084886689,4.95248647727166,0.000818030033444132,0.999950192382521,-4.13618900220894,"Upregulated"
"BCAN-AS1",1.76045414721969,4.6627574276763,4.72192168307796,0.00112345324207258,0.999950192382521,-4.1507867390759,"Upregulated"
"ZNF45",1.09553331945273,4.38849404861833,4.39688161111494,0.00178036214403505,0.999950192382521,-4.17366748881211,"Upregulated"
"HLTF",1.3613559616124,5.37340662888688,4.37706266834859,0.00183196048800906,0.999950192382521,-4.17515635794625,"Upregulated"
"WDCP",1.02354216608219,3.84363742262303,3.54986719477892,0.00634033574011954,0.999950192382521,-4.248327899944,"Upregulated"
"MEST",1.26447727445906,5.23218492254287,3.52189917445087,0.00662259640246765,0.999950192382521,-4.25121288984536,"Upregulated"
"PDCL3",1.06927570445983,3.62346508094813,3.50472676450694,0.00680241193861955,0.999950192382521,-4.25299860009999,"Upregulated"
"TCP11L2",1.06376279920981,4.86248686822166,3.13106651301385,0.0122837144779513,0.999950192382521,-4.2946142557172,"Upregulated"
"ITGA6-AS1",1.14506315743328,4.90078153862078,3.0257903025932,0.0145448771640489,0.999950192382521,-4.30730864442594,"Upregulated"
"ATAD5",1.09720909962073,4.43683402193624,2.96672748669996,0.0159973466748567,0.999950192382521,-4.31461829388961,"Upregulated"
"PRORSD1P",1.33581284825734,3.85801723363728,2.96156083238895,0.0161313022629401,0.999950192382521,-4.31526412347257,"Upregulated"
"ESF1",1.14527605004318,5.69749758842546,2.90885521372228,0.0175654212588068,0.999950192382521,-4.32191093539207,"Upregulated"
"HAUS6",1.0074979044749,4.65032827191249,2.83058281910361,0.0199403603738364,0.999950192382521,-4.33197793834569,"Upregulated"
"VHL",1.40798579368478,4.40269312643458,2.66253525190005,0.0262077272189817,0.999950192382521,-4.3543667971596,"Upregulated"
"POSTN",2.03551071894707,4.8966577671912,2.6136114956629,0.0283836564544733,0.999950192382521,-4.36107806591303,"Upregulated"
"ADCY3",1.07996328202393,4.01401332589928,2.54410223664346,0.0317920779394574,0.999950192382521,-4.370757277026,"Upregulated"
"FAT1",1.05652387133952,5.85063037619118,2.52469447402375,0.0328151892624509,0.999950192382521,-4.37348929952408,"Upregulated"
"SLCO2A1",1.25891760062389,5.58324225126538,2.49698048162435,0.0343336383271605,0.999950192382521,-4.37741238113098,"Upregulated"
"SEPTIN7P14",1.23714972692637,5.85323995985685,2.44847636519208,0.0371621911632926,0.999950192382521,-4.38433880813209,"Upregulated"
"C17orf58",1.06116139059677,4.54133755778588,2.43066876616413,0.038258004603229,0.999950192382521,-4.38690059122942,"Upregulated"
"MAD2L1",1.73024085791557,3.97867001007712,2.41410327838861,0.0393062398726382,0.999950192382521,-4.38929257169294,"Upregulated"
"CYRIB",1.05364322226937,5.97528792193313,2.37600884663837,0.041826316351782,0.999950192382521,-4.39482504512515,"Upregulated"
"EXOC4",1.11983546009361,5.00397635373861,2.36453398576809,0.0426163622997805,0.999950192382521,-4.39650005689324,"Upregulated"
"MAGED4B",1.20464195566567,5.11912342581697,2.34406944342408,0.0440621921278048,0.999950192382521,-4.39949686782693,"Upregulated"
"TP53I3",1.62051996009536,5.92135242892736,2.32016879909369,0.0458122638600285,0.999950192382521,-4.40301205183244,"Upregulated"
"PTK2",1.01372533011785,5.1933400617058,2.21818664351648,0.0540810494944,0.999950192382521,-4.41818447651123,"Upregulated"
"CYTOR",1.47109858989283,6.44354354255388,2.21605872597532,0.0542683121725044,0.999950192382521,-4.41850388024528,"Upregulated"
"FABP4",1.02752954052504,4.69388047487691,2.04967020034509,0.0710377671753757,0.999950192382521,-4.44378434807328,"Upregulated"
"APOLD1",1.14794830947053,3.80134478509938,2.03729987792901,0.0724671968433362,0.999950192382521,-4.44568485365908,"Upregulated"
"COL5A2",1.04248248050121,8.19232518400991,1.97166543718338,0.0805242655275215,0.999950192382521,-4.45580661504067,"Upregulated"
"SANBR",1.07508262119869,4.90722675993631,1.93816405298916,0.0849592377424997,0.999950192382521,-4.46099423721654,"Upregulated"
"RFC4",1.18728434649107,5.47956714923752,1.93611123774605,0.0852384012014052,0.999950192382521,-4.46131250649544,"Upregulated"
"IRX3",1.77477584309142,5.55337793761483,1.92893706449858,0.0862208660221521,0.999950192382521,-4.46242512287043,"Upregulated"
"CACNB4",1.09255240423501,4.10049931714294,1.9257870805234,0.086655620553477,0.999950192382521,-4.46291380028801,"Upregulated"
